SOURCE_ID,TITLE,SUBTITLE,AUTHOR,AUTHORS,ORGANIZATION,DATE,YEAR,LANGUAGE,COUNTRY,SOURCE_TYPE,DOMAIN,SUBDOMAIN,TOPICS,CASE_NAME,PARTICIPANTS,URL,DOI,ISBN,ARCHIVE_ID,DOCUMENT_NUMBER,FILE_PATH,FILE_FORMAT,PAGE_COUNT,WORD_COUNT,PRIMARY_SOURCE,SECONDARY_SOURCE,ORIGINAL_SOURCE,HOST_SOURCE,ACCESS_DATE,ACCESS_STATUS,COPYRIGHT_STATUS,LICENSE,TRAINING_PERMISSION,PROVENANCE,RELIABILITY_SCORE,TRAINING_VALUE,UNIQUENESS_SCORE,CASE_VALUE,TRANSCRIPT_VALUE,SOURCE_QUALITY,OCR_REQUIRED,OCR_QUALITY,DUPLICATE_STATUS,PARENT_SOURCE,RELATED_SOURCES,NOTES,SHA256,FILE_SIZE_BYTES,AUTHORITY,PRIMARY_SOURCE_VALUE,RELIABILITY,NEGOTIATION_RELEVANCE,INFORMATION_DENSITY,CASE_DETAIL,TACTICAL_DETAIL,STRATEGIC_DETAIL,OUTCOME_VISIBILITY,COUNTERPARTY_VISIBILITY,UNIQUENESS
USGOV-NARA-0003,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-05-05,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-01.pdf,,,ISCAP 2016-156 doc. 01,ISCAP 2016-156 doc. 01,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_01/original.pdf,PDF,2,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,dd2a67fa13efb83366986adc76f7e0778d75e8435950815114b846907989f5f0,84767,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0004,"Private Dinner with Russian President Yeltsin: Middle East, China, Iran, Nuclear Control",,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1997-03-21,1997,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-02.pdf,,,ISCAP 2016-156 doc. 02,ISCAP 2016-156 doc. 02,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_02/original.pdf,PDF,6,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,846ac7fa686408653d1b33ecf2b71e8b828a32434a2fb45a2b2281bcc78f2403,288295,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0005,Memorandum of Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1997-11-22,1997,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-03.pdf,,,ISCAP 2016-156 doc. 03,ISCAP 2016-156 doc. 03,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_03/original.pdf,PDF,6,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,77ea2e90d247171c7603ed677ce0c58c4fd7dce7f9fd1f4fd22ad84e59c3ca42,350769,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0006,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-02-02,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-04.pdf,,,ISCAP 2016-156 doc. 04,ISCAP 2016-156 doc. 04,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_04/original.pdf,PDF,4,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,c49983c313d6ce1fe4d2cf8608a2f1d20fbd33658df70ed7176629e7b1b2bcd6,200330,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0007,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-04-06,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-05.pdf,,,ISCAP 2016-156 doc. 05,ISCAP 2016-156 doc. 05,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_05/original.pdf,PDF,4,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,a2bec3c2871a20f6b3f6e0773d356f5d7df74e1895f9be160de6db38f3d94c13,348226,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0008,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-05-02,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-06.pdf,,,ISCAP 2016-156 doc. 06,ISCAP 2016-156 doc. 06,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_06/original.pdf,PDF,5,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,8dccc134b98145cd6163abbbb3eeaf35fb2d432256ca4e75e39b4e62524d2c18,285572,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0009,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-08-25,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-07.pdf,,,ISCAP 2016-156 doc. 07,ISCAP 2016-156 doc. 07,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_07/original.pdf,PDF,4,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,8c9b87624a2c72cd1cdcf5f7acecc2c97d3bb8ba953364fab8568874b89bf092,178312,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0010,Working Dinner with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-04-03,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-08.pdf,,,ISCAP 2016-156 doc. 08,ISCAP 2016-156 doc. 08,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_08/original.pdf,PDF,9,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,23fb3c59e30c3a79cd182728ad0b25e8c69dadc6622b3dcd3f61243532ce8c7d,394175,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0011,Meeting with Russian President Yeltsin on Security Issues,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-04-04,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-09.pdf,,,ISCAP 2016-156 doc. 09,ISCAP 2016-156 doc. 09,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_09/original.pdf,PDF,12,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,3b70d132745ca643be2effc92485cfbd19d2896f077cb5223bcc87c7f2d76679,587223,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0012,Memorandum with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-07-10,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-10.pdf,,,ISCAP 2016-156 doc. 10,ISCAP 2016-156 doc. 10,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_10/original.pdf,PDF,9,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,ec381c17d8e71177f718d1af58bccc6c7d2d8015f32373ab4e405971c4e5f14a,368306,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0013,Summary Report on One-on-One Meeting Between Presidents Clinton and Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1995-05-10,1995,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-11.pdf,,,ISCAP 2016-156 doc. 11,ISCAP 2016-156 doc. 11,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_11/original.pdf,PDF,16,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,20c368a4e9c94ab37d04258d0527a0c440859ad4f96df69b1371c4d3d1c0e8c8,752904,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0014,"Lunch with Boris Yeltsin, President of Russian Federation",,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1995-11-23,1995,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-12.pdf,,,ISCAP 2016-156 doc. 12,ISCAP 2016-156 doc. 12,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_12/original.pdf,PDF,5,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,7acfae8630f4db084f20cab40aad2ee28bb375365df6a797315c5dd2bd0ccaaf,215501,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0015,Memorandum of Conversation Regarding President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-05-17,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-13.pdf,,,ISCAP 2016-156 doc. 13,ISCAP 2016-156 doc. 13,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_13/original.pdf,PDF,8,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,d6e61aa29297689f341d9adf2985ec781dd4eb8e892fc3c5a76f5d4822f8328f,409410,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0016,Telephone Conversation with President Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-03-24,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-14.pdf,,,ISCAP 2016-156 doc. 14,ISCAP 2016-156 doc. 14,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_14/original.pdf,PDF,5,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,80e0df5e4004e29893b719e231646805532b993317058f6c24312a8fa216c0fe,237931,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0017,Telephone Conversation with President Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1999-04-19,1999,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-15.pdf,,,ISCAP 2016-156 doc. 15,ISCAP 2016-156 doc. 15,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_15/original.pdf,PDF,6,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,da4b346ee84cb28cff3be91386acd1964707d025c9f58a5a1f12a4047ba03a7b,255838,5,5,,5,5,5,4,5,4,5,
USGOV-PRES-0001,"Ford-Kissinger Middle East Negotiation Strategy, Cabinet Meeting",,White House record,White House record,Gerald R. Ford Presidential Library,1975-03-26,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Sinai II disengagement negotiations,Gerald Ford; Henry Kissinger; Cabinet,https://www.fordlibrarymuseum.gov/library/document/0314/1553002.pdf,,,1553002,1553002,GOVERNMENT/PRESIDENTIAL/sinai_strategy_cabinet_1975/original.pdf,PDF,6,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Memorandum of conversation; suspension, positions, leverage, and next steps",659208fb930651f53ba67bb961eea0e2874411635946e87f55af81fdc06bda19,638608,5,5,,5,5,5,4,5,4,5,
USGOV-PRES-0002,Ford-Kissinger Discussion of Sinai Interim Settlement Options,,White House record,White House record,Gerald R. Ford Presidential Library,1975-06-20,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Sinai II disengagement negotiations,Gerald Ford; Henry Kissinger; Brent Scowcroft,https://www.fordlibrarymuseum.gov/sites/default/files/pdf_documents/library/document/0314/1553131.pdf,,,1553131,1553131,GOVERNMENT/PRESIDENTIAL/sinai_options_1975_06_20/original.pdf,PDF,4,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Memorandum of conversation with map-line bargaining, pressure, aid leverage, and settlement options",c9b1c9b18740048683e10e1c8905ea5ac42d2828ea637584cdb1d6e28eab9ee3,481397,5,5,,5,5,5,4,5,4,5,
USGOV-PRES-0003,Ford-Kissinger-Clements Discussion of SALT and Vladivostok,,White House record,White House record,Gerald R. Ford Presidential Library,1975,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,SALT II / Vladivostok framework,Gerald Ford; Henry Kissinger; William Clements,https://www.fordlibrarymuseum.gov/library/document/0314/1553248.pdf,,,1553248,1553248,GOVERNMENT/PRESIDENTIAL/salt_vladivostok_postmortem/original.pdf,PDF,8,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Candid internal negotiation postmortem concerning positions, process, cruise missiles, and Backfire",9c1b7fd161ae1973f4591aec914e3b92ece68e6f84028941563fa1f24c136fcf,673302,5,5,,5,5,5,4,5,4,5,
USGOV-PRES-0004,Kissinger-Schlesinger Discussion of Sinai Disengagement,,White House record,White House record,Gerald R. Ford Presidential Library,1974,1974,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Sinai I disengagement negotiations,Henry Kissinger; James Schlesinger,https://www.fordlibrarymuseum.gov/library/document/0314/1552647.pdf,,,1552647,1552647,GOVERNMENT/PRESIDENTIAL/sinai_disengagement_1974/original.pdf,PDF,6,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Memorandum of conversation on Egyptian proposal, oil embargo, military positions, and Canal interests",07a34ba6a7e50c6ad8f10562c9a91a88a41d597dc6fd53aada4031bf27fc1e36,464085,5,5,,5,5,5,4,5,4,5,
USGOV-PRES-0005,Ford-Kissinger-Rockefeller Discussion after Middle East Shuttle Breakdown,,White House record,White House record,Gerald R. Ford Presidential Library,1975-03-28,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,1975 Middle East shuttle diplomacy breakdown,Gerald Ford; Henry Kissinger; Nelson Rockefeller,https://www.fordlibrarymuseum.gov/library/document/0314/1553010.pdf,,,1553010,1553010,GOVERNMENT/PRESIDENTIAL/shuttle_breakdown_1975/original.pdf,PDF,13,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Transcript-like notes on pressure, U.S. plan, and failed shuttle diplomacy",3ecc089165b7974cedd85b75fb5d49ce2d812b9e8fe8c052c497eabc0973ac0e,874580,5,5,,5,5,5,4,5,4,5,
VC-NVCA-CLIMATE-TS-2024,"University Startup Basic Outlicense Template: Climate, Environment and Sustainability-Related Tech",,,,National Venture Capital Association,2024-04-04,2024,English,United States,model term sheet,VC,climate-tech venture licensing,term sheet;university licensing;equity;royalties;milestones;sublicensing,US-BOLT Climate,universities;venture capital firms;startup licensees,https://nvca.org/wp-content/uploads/2024/04/US-BOLT-Term-Sheet-Climate-final-4-4-24.pdf,,,,US-BOLT Climate,negotiations/VC/nvca_climate_license_term_sheet_2024/original.pdf,PDF,20,,TRUE,FALSE,TRUE,National Venture Capital Association,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Freely downloadable official NVCA model document.,e948f52514ea65fb8d5042b0295216aa3f589a35cacf02c57c43636fdfd3a54f,290910,5,5,5,5,5,3,3,4,5,4,4
VC-NVCA-LIFESCI-TS-2022,Model Term Sheet for University Life Science Startup License,,,,National Venture Capital Association,2022-11-19,2022,English,United States,model term sheet,VC,life-science venture licensing,term sheet;university licensing;equity;royalties;milestones;sublicensing,US-BOLT Life Science,universities;venture capital firms;startup licensees,https://nvca.org/wp-content/uploads/2022/11/TTO-and-VC-Early-Stage-Life-Science-Term-Sheet-11-19-22-launch.pdf,,,,US-BOLT Life Science,negotiations/VC/nvca_life_science_license_term_sheet_2022/original.pdf,PDF,21,,TRUE,FALSE,TRUE,National Venture Capital Association,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Freely downloadable official NVCA model document.,c310e63da0b077b3fd3c9f80f180c61b7ac66f4550dda936eefa48a05d09acff,313230,5,5,5,5,5,3,3,4,5,4,4
